,Trip Start Timestamp,Trip Seconds,Trip Miles,Fare,Tips,Company
0,03/01/2021 12:15:00 AM,1740.0,18.0,44.5,10.2,Medallion Leasin
1,03/01/2021 12:15:00 AM,1320.0,17.2,48.75,5.0,Taxi Affiliation Services
2,03/01/2021 06:45:00 AM,364.0,1.2,6.5,0.0,Setare Inc
4,03/01/2021 07:15:00 AM,240.0,0.7,5.5,0.0,"Taxicab Insurance Agency, LLC"
5,03/01/2021 07:15:00 AM,253.0,1.0,5.5,0.0,Medallion Leasin
6,03/01/2021 07:15:00 AM,1500.0,17.3,43.0,5.0,Chicago Independents
7,03/01/2021 07:15:00 AM,262.0,1.1,5.75,0.0,City Service
8,03/01/2021 07:15:00 AM,300.0,1.2,6.0,0.0,"Taxicab Insurance Agency, LLC"
9,03/01/2021 07:15:00 AM,393.0,0.88,6.25,0.0,Sun Taxi
10,03/01/2021 07:30:00 AM,286.0,0.9,5.75,0.0,Chicago Taxicab
11,03/01/2021 07:30:00 AM,1676.0,4.0,17.75,0.0,City Service
12,03/01/2021 07:30:00 AM,240.0,0.6,5.25,0.0,Medallion Leasin
13,03/01/2021 07:30:00 AM,207.0,0.6,4.75,0.0,Medallion Leasin
15,03/01/2021 07:30:00 AM,224.0,0.99,5.75,2.0,City Service
16,03/01/2021 07:30:00 AM,180.0,0.8,5.25,0.0,Taxi Affiliation Services
18,03/01/2021 07:30:00 AM,82.0,0.32,4.0,0.0,City Service
19,03/01/2021 07:45:00 AM,720.0,0.7,8.0,0.0,Blue Ribbon Taxi Association Inc.
20,03/01/2021 07:45:00 AM,306.0,1.3,6.25,2.0,Medallion Leasin
21,03/01/2021 07:45:00 AM,226.0,0.56,5.0,0.0,Sun Taxi
22,03/01/2021 08:00:00 AM,300.0,0.8,5.75,0.0,Blue Ribbon Taxi Association Inc.
23,03/01/2021 08:00:00 AM,240.0,0.9,5.5,2.0,Star North Management LLC
24,03/01/2021 08:00:00 AM,183.0,0.6,4.75,0.0,City Service
25,03/01/2021 08:00:00 AM,329.0,0.8,5.75,1.0,Sun Taxi
28,03/01/2021 08:00:00 AM,39.0,0.28,3.75,0.0,Flash Cab
30,03/01/2021 08:15:00 AM,120.0,0.5,4.5,0.0,Taxi Affiliation Services
