,Trip Start Timestamp,Trip Miles,Pickup Community Area,Fare,Tips,Company,Pickup Centroid Latitude,Pickup Centroid Longitude
0,03/01/2021 12:00:00 AM,14.3,76.0,36.0,8.4,Top Cab Affiliation,41.980264315,-87.913624596
1,03/01/2021 12:00:00 AM,0.5,77.0,5.25,1.0,Taxi Affiliation Services,41.9867118,-87.663416405
7,03/01/2021 12:00:00 AM,3.4,8.0,12.25,50.0,Taxi Affiliation Services,41.899602111,-87.633308037
8,03/01/2021 12:00:00 AM,12.9,56.0,33.0,7.7,Medallion Leasin,41.79259236,-87.769615453
13,03/01/2021 12:00:00 AM,12.66,24.0,32.75,8.31,Sun Taxi,41.901206994,-87.676355989
18,03/01/2021 12:15:00 AM,18.0,76.0,44.5,10.2,Medallion Leasin,41.97907082,-87.903039661
21,03/01/2021 12:15:00 AM,9.34,28.0,24.75,9.45,Flash Cab,41.874005383,-87.66351755
43,03/01/2021 01:15:00 AM,9.48,16.0,25.0,0.07,Flash Cab,41.953582125,-87.72345239
57,03/01/2021 03:30:00 AM,9.72,12.0,25.75,5.25,Flash Cab,41.993930128,-87.758353588
59,03/01/2021 05:15:00 AM,12.5,2.0,32.0,9.75,Taxi Affiliation Services,42.001571027,-87.695012589
60,03/01/2021 05:15:00 AM,0.1,38.0,8.75,2.0,Taxi Affiliation Services,41.812948939,-87.617859676
62,03/01/2021 05:45:00 AM,2.0,32.0,8.5,2.0,Medallion Leasin,41.878865584,-87.625192142
72,03/01/2021 06:30:00 AM,8.68,44.0,29.75,0.07,Flash Cab,41.740205756,-87.615969523
74,03/01/2021 06:45:00 AM,8.13,5.0,22.5,4.5,Flash Cab,41.947791586,-87.683834942
76,03/01/2021 06:45:00 AM,3.44,7.0,11.75,2.35,Sun Taxi,41.922686284,-87.649488729
79,03/01/2021 06:45:00 AM,4.5,6.0,14.75,3.05,City Service,41.944226601,-87.655998182
83,03/01/2021 06:45:00 AM,0.4,70.0,4.25,15.05,Taxi Affiliation Services,41.745757713,-87.708365704
89,03/01/2021 07:00:00 AM,8.55,1.0,28.5,4.35,Flash Cab,42.009622881,-87.670166857
95,03/01/2021 07:15:00 AM,8.79,21.0,25.25,6.44,Flash Cab,41.938666196,-87.711210593
96,03/01/2021 07:15:00 AM,14.3,22.0,35.25,4.0,Taxi Affiliation Services,41.92276062,-87.699155343
99,03/01/2021 07:30:00 AM,11.59,3.0,31.25,0.07,Flash Cab,41.96581197,-87.655878786
103,03/01/2021 07:30:00 AM,0.99,28.0,5.75,2.0,City Service,41.879255084,-87.642648998
110,03/01/2021 07:45:00 AM,5.07,14.0,16.0,5.0,Flash Cab,41.968069,-87.721559063
114,03/01/2021 07:45:00 AM,1.3,32.0,6.25,2.0,Medallion Leasin,41.884987192,-87.620992913
120,03/01/2021 08:00:00 AM,9.18,41.0,25.5,0.07,Flash Cab,41.794090253,-87.592310855
123,03/01/2021 08:00:00 AM,7.78,34.0,22.25,0.07,Flash Cab,41.842076117,-87.633973422
127,03/01/2021 08:00:00 AM,1.5,29.0,9.5,1.0,Taxi Affiliation Services,41.860190019,-87.7172201
129,03/01/2021 08:15:00 AM,16.6,69.0,46.25,9.3,Taxi Affiliation Services,41.763246799,-87.616134111
160,03/01/2021 08:30:00 AM,0.6,32.0,5.0,3.0,Taxi Affiliation Services,41.880994471,-87.632746489
175,03/01/2021 08:45:00 AM,8.66,48.0,30.0,0.07,Flash Cab,41.729676423,-87.572717134
176,03/01/2021 08:45:00 AM,1.2,8.0,7.0,2.0,"Taxicab Insurance Agency, LLC",41.89503345,-87.619710672
189,03/01/2021 09:00:00 AM,4.34,35.0,14.5,3.0,Flash Cab,41.835117986,-87.618677767
